"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Nitrous Oxide (N2O) (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",36.4,35.3,35.4,35.4,35.6,35.5,36.2,36.2,36.2,35.8,35.8,35.4,35.2,35.2,35.4,35.7,36.0,35.7,36.5,35.8,36.2,37.1,37.9,38.5,38.9,39.2,40.1,41.4,42.6
"Nitrous Oxide (N2O) (kt CO2-eqv.)","WASTE, TOTAL",231.7,232.8,233.8,236.5,239.4,244.2,239.5,235.2,233.0,233.7,234.5,233.0,232.4,234.9,234.3,250.4,250.4,252.7,256.5,260.3,255.6,264.2,253.8,249.7,244.9,238.4,238.6,237.1,230.2
"Nitrous Oxide (N2O) (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",118.0,144.1,150.8,159.2,159.7,166.7,179.0,142.0,152.5,144.2,141.0,164.1,177.0,188.8,213.6,220.6,226.2,234.9,243.0,257.0,281.7,246.9,240.0,256.5,228.7,240.2,230.9,244.8,248.1
"Nitrous Oxide (N2O) (kt CO2-eqv.)","INDUSTRY, TOTAL",994.1,1045.6,1020.5,1001.3,987.4,920.8,887.7,882.3,963.9,871.8,831.7,703.9,650.2,631.9,627.7,630.7,664.0,453.3,475.7,504.9,522.8,253.4,280.9,266.2,267.5,247.7,267.6,260.8,244.5
"Nitrous Oxide (N2O) (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",189.5,191.8,207.4,214.2,211.1,225.9,221.7,229.8,209.8,215.7,153.4,138.7,130.6,124.2,119.1,117.4,115.1,112.1,113.8,115.8,121.8,121.4,130.5,134.4,140.7,147.3,153.7,154.5,158.2
"Nitrous Oxide (N2O) (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",56.2,57.3,61.6,63.2,72.3,73.4,77.6,90.3,104.1,105.3,103.3,100.3,88.3,109.7,124.7,129.6,137.1,137.3,136.2,138.0,134.0,120.2,115.6,111.5,119.6,127.6,138.4,156.1,168.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","AGRICULTURE, TOTAL",3941.2,3739.6,3578.5,3788.9,3848.4,3741.9,3769.8,3818.9,3794.0,3683.4,3712.4,3727.3,3650.5,3609.9,3598.1,3482.5,3404.0,3457.8,3495.9,3288.0,3397.4,3417.0,3362.0,3416.1,3491.8,3518.2,3490.0,3620.9,3391.8
"Nitrous Oxide (N2O) (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",86.7,85.6,103.4,103.1,92.1,118.9,132.0,136.2,138.6,129.3,117.4,113.8,122.2,131.1,140.5,131.2,126.2,110.5,118.3,104.3,120.4,94.5,92.3,76.9,85.5,88.4,76.3,116.9,116.9
"Nitrous Oxide (N2O) (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",142.6,143.3,133.9,135.6,132.3,130.0,130.3,119.9,111.0,107.5,106.6,97.0,95.9,103.3,99.3,94.1,84.5,88.1,85.8,88.5,87.6,87.5,85.7,84.9,78.6,78.4,79.5,81.0,71.4
"Nitrous Oxide (N2O) (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",1275.9,1261.6,1257.4,1263.2,1265.1,1274.2,1273.2,1275.3,1278.3,1289.5,1298.6,1300.6,1298.7,1303.5,1298.2,1314.4,1304.8,1298.5,1273.8,1240.8,1256.8,1202.4,1154.6,1160.4,1179.9,1210.0,1237.7,1237.8,1251.9
